Producing reference corpus...
  g_51a0_x86_64_wp0: 49152 B
  g_51a0_x86_64_wp1: 61952 B
  g_51a0_aarch64_wp0: 51712 B
  g_51a0_aarch64_wp1: 62464 B
  g_51a0_riscv64_wp0: 47104 B
  g_51a0_riscv64_wp1: 57344 B
  g_51a0_mipsel_wp0: 49664 B
  g_51a0_mipsel_wp1: 61952 B
  g_51a1_x86_64_wp0: 49152 B
  g_51a1_x86_64_wp1: 61952 B
  g_51a1_aarch64_wp0: 51712 B
  g_51a1_aarch64_wp1: 62976 B
  g_51a1_riscv64_wp0: 47616 B
  g_51a1_riscv64_wp1: 58368 B
  g_51a1_mipsel_wp0: 49664 B
  g_51a1_mipsel_wp1: 61952 B
  g_51a2_x86_64_wp0: 49152 B
  g_51a2_x86_64_wp1: 61952 B
  g_51a2_aarch64_wp0: 51712 B
  g_51a2_aarch64_wp1: 62464 B
  g_51a2_riscv64_wp0: 47104 B
  g_51a2_riscv64_wp1: 57344 B
  g_51a2_mipsel_wp0: 50688 B
  g_51a2_mipsel_wp1: 62464 B
  g_51a3_x86_64_wp0: 50176 B
  g_51a3_x86_64_wp1: 61952 B
  g_51a3_aarch64_wp0: 52736 B
  g_51a3_aarch64_wp1: 62976 B
  g_51a3_riscv64_wp0: 47616 B
  g_51a3_riscv64_wp1: 57856 B
  g_51a3_mipsel_wp0: 50688 B
  g_51a3_mipsel_wp1: 62464 B
  g_51a4_x86_64_wp0: 50688 B
  g_51a4_x86_64_wp1: 63488 B
  g_51a4_aarch64_wp0: 53248 B
  g_51a4_aarch64_wp1: 64000 B
  g_51a4_riscv64_wp0: 49664 B
  g_51a4_riscv64_wp1: 59904 B
  g_51a4_mipsel_wp0: 51712 B
  g_51a4_mipsel_wp1: 64000 B
  g_51a5_x86_64_wp0: 50688 B
  g_51a5_x86_64_wp1: 62464 B
  g_51a5_aarch64_wp0: 53248 B
  g_51a5_aarch64_wp1: 64000 B
  g_51a5_riscv64_wp0: 49664 B
  g_51a5_riscv64_wp1: 59392 B
  g_51a5_mipsel_wp0: 51712 B
  g_51a5_mipsel_wp1: 64000 B
  g_51a6_x86_64_wp0: 50688 B
  g_51a6_x86_64_wp1: 62976 B
  g_51a6_aarch64_wp0: 53248 B
  g_51a6_aarch64_wp1: 64512 B
  g_51a6_riscv64_wp0: 49152 B
  g_51a6_riscv64_wp1: 59392 B
  g_51a6_mipsel_wp0: 51712 B
  g_51a6_mipsel_wp1: 64000 B
  g_51a7_x86_64_wp0: 49664 B
  g_51a7_x86_64_wp1: 62976 B
  g_51a7_aarch64_wp0: 52736 B
  g_51a7_aarch64_wp1: 64000 B
  g_51a7_riscv64_wp0: 48128 B
  g_51a7_riscv64_wp1: 58880 B
  g_51a7_mipsel_wp0: 50688 B
  g_51a7_mipsel_wp1: 62976 B
  g_51a8_x86_64_wp0: 49152 B
  g_51a8_x86_64_wp1: 61440 B
  g_51a8_aarch64_wp0: 51712 B
  g_51a8_aarch64_wp1: 62464 B
  g_51a8_riscv64_wp0: 47104 B
  g_51a8_riscv64_wp1: 57344 B
  g_51a8_mipsel_wp0: 49664 B
  g_51a8_mipsel_wp1: 62464 B
  g_51a9_x86_64_wp0: 50688 B
  g_51a9_x86_64_wp1: 62976 B
  g_51a9_aarch64_wp0: 53248 B
  g_51a9_aarch64_wp1: 64512 B
  g_51a9_riscv64_wp0: 49152 B
  g_51a9_riscv64_wp1: 58880 B
  g_51a9_mipsel_wp0: 51712 B
  g_51a9_mipsel_wp1: 64000 B
  g_51aa_x86_64_wp0: 50688 B
  g_51aa_x86_64_wp1: 62976 B
  g_51aa_aarch64_wp0: 53248 B
  g_51aa_aarch64_wp1: 64000 B
  g_51aa_riscv64_wp0: 49152 B
  g_51aa_riscv64_wp1: 58880 B
  g_51aa_mipsel_wp0: 52224 B
  g_51aa_mipsel_wp1: 64000 B
  g_51ab_x86_64_wp0: 51712 B
  g_51ab_x86_64_wp1: 64512 B
  g_51ab_aarch64_wp0: 53760 B
  g_51ab_aarch64_wp1: 65536 B
  g_51ab_riscv64_wp0: 51200 B
  g_51ab_riscv64_wp1: 61952 B
  g_51ab_mipsel_wp0: 53248 B
  g_51ab_mipsel_wp1: 65536 B
  g_51ac_x86_64_wp0: 49152 B
  g_51ac_x86_64_wp1: 61952 B
  g_51ac_aarch64_wp0: 51712 B
  g_51ac_aarch64_wp1: 63488 B
  g_51ac_riscv64_wp0: 47104 B
  g_51ac_riscv64_wp1: 57856 B
  g_51ac_mipsel_wp0: 49664 B
  g_51ac_mipsel_wp1: 61952 B
  g_51ad_x86_64_wp0: 50176 B
  g_51ad_x86_64_wp1: 62464 B
  g_51ad_aarch64_wp0: 52736 B
  g_51ad_aarch64_wp1: 62976 B
  g_51ad_riscv64_wp0: 48128 B
  g_51ad_riscv64_wp1: 58368 B
  g_51ad_mipsel_wp0: 51200 B
