# QEMU decode-identity / Capstone-constant PAIR CENSUS -- the observed set the
# generated champsim_tracer_qemu_ident_aarch64.h rests on.
#
# Written by the tracer (CST_QEMU_IDENT_PAIRS=<path>, ONE qemu process per
# file) and folded in here by tools/merge_ident_pairs.py, which is a UNION:
# a rule that has ever been observed stays observed, so regeneration cannot
# narrow the table.  Sorted by (decode_id, cap_insn_id) so a diff is readable.
#
# The NAME is not decoration.  A decode id is not stable across source edits
# -- on i386 it is __LINE__ in decode-new.c.inc -- so the name is what proves
# a banked record still belongs to the rule it was taken from.  Both this
# tool's `verify` and the generator refuse a record whose name disagrees with
# the current universe.
#
#decode_id	decode_name	cap_insn_id	count
12531771	disas_a64/AND_i	32	1010
27340708	disas_a64/LDR_i@01111000100.........01..........	637	1
43628285	disas_a64/MOVK	746	312
56839998	disas_a64/SCVTF_g	941	4
78591400	disas_a64/LDR_i@1011100110......................	638	27
131796440	disas_a64/LD_mult@0.001100.10.....1010............	512	4
140213065	disas_a64/TBL_TBX	1246	4
152340886	disas_a64/MSUB_x	757	87
157826187	disas_a64/SBFM@00010011000.....0...............	939	36
225968457	disas_a64/LD_mult@0.001100.10.....1000............	534	4
234754131	disas_a64/STP@1010100100......................	1180	3211
239046465	disas_a64/AUTIASP	42	358
244456803	disas_a64/LD_mult@0.001100.10.....0100............	541	4
248054475	disas_a64/LDG	608	57
261401001	disas_a64/GMI	495	17
282711943	disas_a64/AND_i@0001001000......................	32	603
285066775	disas_a64/FMUL_v@0.1011100.1.....110111..........	432	14
292587503	disas_sve/PTRUE	810	14
295292570	disas_a64/MOVZ	750	4548
333462142	disas_a64/FSUB_v@0.0011101.1.....110101..........	460	4
336894695	disas_a64/MSUB_w	757	36
407279149	disas_a64/LDR_i@0011100110......................	636	2
413836275	disas_a64/STR_v_i@00111100100.........00..........	1188	61
422177465	disas_a64/INS_general	507	4
458589597	disas_a64/LDR_v_i@00111100110.........11..........	634	24
464239811	disas_a64/ABS_v	1	4
464792026	disas_a64/LDR_v_i@0011110111......................	634	84
465414783	disas_a64/ADDS_r	18	254
543381319	disas_a64/LDR_i@0011100101......................	633	1119
563115293	disas_a64/RET	887	3653
566829236	disas_a64/LDR	633	134
566829236	disas_a64/LDR	634	412
566829236	disas_a64/LDR	635	40
574721695	disas_a64/SHRN_v@0.00111100001...100001..........	992	71
576531979	disas_a64/EXTR@10010011110.....................	319	13
600384474	disas_a64/LDP	629	3722
605551185	disas_a64/FCVT_s_sd	360	6
611984491	disas_a64/LDP_v@1010110101......................	629	114
619327663	disas_a64/FCVT_s_ds	360	9
634224373	disas_a64/ST_mult@0.001100.00.....1000............	1140	4
655864224	disas_a64/BL	95	5941
662606525	disas_a64/LDAR	575	108
675476004	disas_a64/SHRN_v	992	70
686901112	disas_a64/ISB	509	4
693725485	disas_a64/LDADD	555	4
693725485	disas_a64/LDADD	562	10
718544032	disas_a64/FMUL_s	432	122
734123982	disas_a64/NOP@11010101000000110010.......11111	42	1041
749023026	disas_a64/MOVZ@0101001010......................	750	2439
758637145	disas_a64/CMEQ0_v	152	130
785512825	disas_a64/ST2G@11011001101.........11..........	1137	8
788402448	disas_a64/STR_v_i	1182	240
788402448	disas_a64/STR_v_i	1188	58
800385567	disas_a64/SUBS_i@.111000100......................	1210	2791
802432127	disas_a64/FMUL_v	432	20
812278905	disas_a64/ADDV	21	6
816260394	disas_a64/FABS_s	332	49
820622290	disas_a64/LDP@0010100101......................	629	27
827594207	disas_a64/STLR	1167	18
831117834	disas_a64/SBFM	939	262
836822638	disas_a64/LDR_i@1011100101......................	634	2129
837664563	disas_a64/FMOV_xd	426	384
844874831	disas_a64/STR_i@..11100100......................	1181	303
844874831	disas_a64/STR_i@..11100100......................	1182	6412
844874831	disas_a64/STR_i@..11100100......................	1183	75
879787109	disas_sve/LD_zpri	480	236
884855258	disas_a64/ADDS_i	18	336
896708547	disas_a64/FMOVI_s	426	52
993698829	disas_a64/SBFM@1001001101......................	939	259
1021681141	disas_a64/EXTR	319	6
1031514538	disas_a64/SUB_i@.101000101......................	1211	12
1054575750	disas_a64/FADD_v	336	20
1055195409	disas_a64/LDR_i@00111000010.........01..........	633	69
1064114606	disas_a64/MOVN@100100101.......................	747	175
1064367749	disas_a64/FSQRT_v@0.1011101.100001111110..........	459	4
1089328848	disas_a64/FMOV_xu	426	32
1090746162	disas_a64/TBZ	1247	1833
1090746162	disas_a64/TBZ	1250	862
1093240007	disas_a64/UMULH	1315	56
1093925351	disas_a64/RBIT	818	143
1104923077	disas_a64/SABD_v	920	4
1123619561	disas_a64/FMOV_sw	426	10
1138463845	disas_a64/FADD_s	336	118
1149031658	disas_a64/LDR_v@..111100011.........10..........	634	42
1150077336	disas_a64/ADD_v	22	15
1159192794	disas_a64/BR	103	215
1176468347	disas_a64/FMOV_dx	426	94
1188469880	disas_a64/SUB_ext	1211	188
1190140010	disas_a64/SETP	967	18
1217187812	disas_a64/ADD_r	22	6795
1224644766	disas_a64/SYS@1101010100.11...................	752	411
1224644766	disas_a64/SYS@1101010100.11...................	754	12
1250572061	disas_a64/SUBS_ext	1210	144
1250933875	disas_a64/CPYM	243	13
1274028105	disas_a64/SETM	963	18
1274086370	disas_a64/STZ2G@11011001111.........11..........	1197	4
1281181349	disas_a64/ORR_i@101100100.......................	774	264
1281833116	disas_a64/FSUB_s	460	73
1307820110	disas_a64/IRG	508	17
1324362609	disas_a64/FMOV_ws	426	4
1337708427	disas_a64/LDR_v_i@..11110101......................	634	101
1352425374	disas_a64/CMHS_v	156	55
1364197571	disas_a64/LDR_v_i@00111100110.........00..........	710	10
1385154827	disas_a64/CPYE	179	13
1401741621	disas_a64/ADD_i	22	7100
1402617808	disas_a64/SCVTF_g@.0011110..100010000000..........	941	25
1408249057	disas_a64/SETE	948	18
1409747884	disas_a64/B	51	4808
1420111018	disas_a64/STZ2G	1197	16
1435927619	disas_a64/BRK	109	17
1467391627	disas_a64/LDP_v	629	114
1480424597	disas_a64/FDIV_v@0.1011100.1.....111111..........	380	14
1491867133	disas_a64/PMUL_v	799	4
1499218506	disas_a64/CPYFP	227	18
1533341929	disas_a64/BFM	87	32
1583106601	disas_a64/CPYFM	211	18
1588353362	disas_a64/ASRV	35	20
1606052132	disas_a64/UDIV	1286	171
1612515212	disas_a64/ZIP1	1417	4
1616769139	disas_a64/MLA_v	738	4
1630138913	disas_a64/LD_mult@0.001100.10.....0010............	512	4
1644351043	disas_a64/LDR@10111000011.........10..........	634	74
1647583709	disas_a64/SHL_s	988	3
1653527522	disas_a64/FMADD	390	605
1659413934	disas_sve/LD_zpri@1010010....0....101.............	480	119
1676058006	disas_a64/NOP@1111100110......................	804	4
