# QEMU decode-identity / Capstone-constant PAIR CENSUS -- the observed set the
# generated champsim_tracer_qemu_ident_mips.h rests on.
#
# Written by the tracer (CST_QEMU_IDENT_PAIRS=<path>, ONE qemu process per
# file) and folded in here by tools/merge_ident_pairs.py, which is a UNION:
# a rule that has ever been observed stays observed, so regeneration cannot
# narrow the table.  Sorted by (decode_id, cap_insn_id) so a diff is readable.
#
# The NAME is not decoration.  A decode id is not stable across source edits
# -- on i386 it is __LINE__ in decode-new.c.inc -- so the name is what proves
# a banked record still belongs to the rule it was taken from.  Both this
# tool's `verify` and the generator refuse a record whose name disagrees with
# the current universe.
#
#decode_id	decode_name	cap_insn_id	count
21647564	translate_mips/OPC_ADDIU	64	779154
25548106	translate_mips/OPC_LWL	841	946
59103344	translate_mips/OPC_LWR	847	1010
160234904	translate_mips/OPC_JALR	777	7383
163917493	translate_mips/OPC_ADDU	128	701749
264955406	translate_mips/OPC_TRUNC_W_D	67	6
360287786	translate_mips/OPC_SUBU	66	279923
371600800	translate_mips/OPC_AND	148	3983
374773796	translate_mips/OPC_LBU	799	3055
382824586	translate_mips/OPC_BLEZ	254	683
423060831	translate_mips/OPC_LDC1	803	1514
442870010	translate_mips/OPC_LHU	821	1674
542919829	translate_mips/OPC_DIVU	88	388
549579851	translate_mips/OPC_BC1F	196	57
552062454	translate_mips/OPC_MTHC1	980	398
559029398	translate_mips/OPC_SLLV	1191	503
578812175	translate_mips/OPC_LUI	833	17230
586566300	translate_mips/OPC_SRLV	1240	653
811973611	translate_mips/OPC_SLTU	82	4960
811987308	translate_mips/OPC_XOR	1354	178321
851576993	translate_mips/OPC_BC1T	200	71
904970938	translate_mips/OPC_BGTZ	231	389
913818585	translate_mips/OPC_ADD_D	608	769
936151865	translate_mips/OPC_SEH	1134	51
941336295	translate_mips/OPC_BGEZ	224	154
943823096	translate_mips/OPC_SUB_D	711	466
974609346	translate_mips/OPC_ADD	98	12
1012525914	translate_mips/OPC_JAL	35	7246
1013305039	translate_mips/OPC_SLTI	1197	15684
1036817579	translate_mips/OPC_SEB	1133	277
1050391318	translate_mips/OPC_MADD_D	864	3
1118836426	translate_mips/OPC_NOR	63	888
1148211024	translate_mips/OPC_CTC1	433	18
1199038108	translate_mips/OPC_ADD_S	610	12
1225319058	translate_mips/OPC_MTC1	976	458
1319010719	translate_mips/OPC_MOVZ	959	408
1352673409	translate_mips/OPC_CMP_ULE_D	477	41
1357187678	translate_mips/OPC_CLZ	373	430
1434099007	translate_mips/OPC_XORI	1357	416
1453604161	translate_mips/OPC_PMON	832	12
1487734679	translate_mips/OPC_BLTZ	262	937
1498760973	translate_mips/OPC_MADD	854	3
1509989410	translate_mips/OPC_SRL	1226	1768
1520342147	translate_mips/OPC_MOVN	953	859
1559783521	translate_mips/OPC_CMP_LT_D	457	54
1560168528	translate_mips/OPC_SYNC	1308	1534
1593877505	translate_mips/OPC_SRA	1208	824
1668338608	translate_mips/OPC_SDC1	1127	666
1752779468	translate_mips/OPC_MOV_D	676	34
1753322586	translate_mips/OPC_SQRT_D	707	19
1947203655	translate_mips/OPC_MSUB_D	971	3
1952440554	translate_mips/OPC_BLTZAL	263	18
1974937220	translate_mips/OPC_SLL	1185	951123
1974937220	translate_mips/OPC_SLL	1245	3
1980627178	translate_mips/OPC_BREAK	296	23
2004443753	translate_mips/OPC_MOV_S	677	160
2012876695	translate_mips/OPC_SWL	1296	78
2038168754	translate_mips/OPC_RDHWR	1087	1969
2109158172	translate_mips/OPC_SLT	81	636
2113542409	translate_mips/OPC_SWR	1302	170
2115464796	translate_mips/OPC_MSUB	961	3
2172719076	translate_mips/OPC_MULTU	1009	224
2254367450	translate_mips/OPC_EXT	589	577
2295168719	translate_mips/OPC_JR	787	11193
2295168719	translate_mips/OPC_JR	793	5
2301554152	translate_mips/OPC_MFHC1	901	111
2336146183	translate_mips/OPC_J	776	834
2382083259	translate_mips/OPC_MFHI	904	588
2430404701	translate_mips/OPC_BEQ	22	54101
2458603191	translate_mips/OPC_MUL	60	895
2483440521	translate_mips/OPC_MFLO	906	321
2488086361	translate_mips/OPC_MULT	1008	16
2518128592	translate_mips/OPC_MFC1	897	153
2650028859	translate_mips/OPC_SUB	1250	2
2684744290	translate_mips/OPC_DIV	73	6
2754876221	translate_mips/OPC_INS	766	426
2791033721	translate_mips/OPC_DIV_D	637	34
2807091258	translate_mips/OPC_ROTR	1099	25
2923707502	translate_mips/OPC_SLTIU	1196	3377
2965876121	translate_mips/OPC_LB	796	1681
2972212218	translate_mips/OPC_CMP_UN_D	481	21
3133652311	translate_mips/OPC_LL	828	847
3141284715	translate_mips/OPC_CVT_D_W	437	52
3163514860	translate_mips/OPC_SH	1144	413
3208395191	translate_mips/OPC_CVT_D_S	436	12
3238486725	translate_mips/OPC_ORI	1041	2169
3259876820	translate_mips/OPC_SYSCALL	1310	870
3284650882	translate_mips/OPC_LW	835	1651797
3331291050	translate_mips/OPC_SB	1117	1859
3340387787	translate_mips/OPC_ANDI	65	6498
3348068669	translate_mips/OPC_SC	1121	746
3378841734	translate_mips/OPC_CMP_LE_D	455	12
3435531650	translate_mips/OPC_BNE	23	33025
3468763406	translate_mips/OPC_OR	1038	699644
3493337604	translate_mips/OPC_ROTRV	1100	4
3498989620	translate_mips/OPC_MUL_D	681	985
3549400097	translate_mips/OPC_SW	1290	816348
3589581663	translate_mips/OPC_TEQ	1311	366
3757762151	translate_mips/OPC_CMP_EQ_D	451	4
3790175787	translate_mips/OPC_CVT_S_D	444	12
3842159861	translate_mips/OPC_SRAV	1221	72
3861468066	translate_mips/OPC_TEQI	1312	16
3993904186	translate_mips/OPC_BGEZAL	225	9065
4015734786	translate_mips/OPC_PREF	1079	667
4150368786	translate_mips/OPC_CFC1	333	57
