# QEMU decode-identity / Capstone-constant PAIR CENSUS -- the observed set the
# generated champsim_tracer_qemu_ident_riscv.h rests on.
#
# Written by the tracer (CST_QEMU_IDENT_PAIRS=<path>, ONE qemu process per
# file) and folded in here by tools/merge_ident_pairs.py, which is a UNION:
# a rule that has ever been observed stays observed, so regeneration cannot
# narrow the table.  Sorted by (decode_id, cap_insn_id) so a diff is readable.
#
# The NAME is not decoration.  A decode id is not stable across source edits
# -- on i386 it is __LINE__ in decode-new.c.inc -- so the name is what proves
# a banked record still belongs to the rule it was taken from.  Both this
# tool's `verify` and the generator refuse a record whose name disagrees with
# the current universe.
#
#decode_id	decode_name	cap_insn_id	count
114635156	decode_insn32/amoor_w	119	13
114635156	decode_insn32/amoor_w	120	6
155410893	decode_insn32/fmv_x_d	647	131
245816640	decode_insn32/auipc	142	16375
292931559	decode_insn32/sltiu	814	350
298848951	decode_insn32/srl	825	851
376698430	decode_insn32/lui	703	2169
388422643	decode_insn32/csrrc	185	3
401919793	decode_insn32/bltu	153	3324
450836452	decode_insn16/srli	538	2032
494856043	decode_insn32/vsetvli	1458	11
510183907	decode_insn32/lhu	19	1691
555403806	decode_insn16/sd@111...........00	529	2713
576308645	decode_insn32/lbu	15	4876
589947632	decode_insn32/andi	140	4998
605085047	decode_insn32/srliw	827	469
616947561	decode_insn32/vmadc_vvm	1310	3
616947561	decode_insn32/vmadc_vvm	1311	3
656216615	decode_insn16/sd@111...........10	530	10180
656864547	decode_insn32/csrrs	187	84
714385741	decode_insn16/addiw	495	2519
723975023	decode_insn32/csrrw	189	44
730958230	decode_insn16/slli	534	6397
730958230	decode_insn16/slli	535	9
734460831	decode_insn16/lw	521	2026
764973521	decode_insn32/slt	812	69
768769378	decode_insn32/sub	840	3414
779758644	decode_insn32/lwu	23	314
842421749	decode_insn32/bgeu	149	3348
852785303	decode_insn32/feq_d	603	24
899194473	decode_insn32/sll	807	581
928704527	decode_insn32/subw	841	653
946238752	decode_insn32/ld	16	28261
984690110	decode_insn16/jalr@1001.....0000010	512	452
993344420	decode_insn16/c_fsd@101...........10	507	66
997743548	decode_insn32/fnmsub_d	653	132
1006007044	decode_insn16/sw	544	860
1011632595	decode_insn32/jal	694	11807
1019680354	decode_insn16/ld	515	7679
1019680354	decode_insn16/ld	516	16194
1023356565	decode_insn32/mulhu	752	45
1044847829	decode_insn32/xor	1670	804
1046904466	decode_insn32/lb	14	70
1048037299	decode_insn32/sh	28	485
1055375189	decode_insn16/srai	536	90
1086643735	decode_insn16/or	527	1561
1215813489	decode_insn32/sb	24	2044
1234523507	decode_insn32/fsqrt_d	671	15
1249368727	decode_insn32/sd	25	21178
1265013513	decode_insn32/lw	22	4164
1281161778	decode_insn16/illegal@00000000000...00	546	35
1323751826	decode_insn16/addw	496	238
1324781805	decode_insn16/sd	529	4351
1324781805	decode_insn16/sd	530	16506
1331264205	decode_insn16/jal	510	4706
1371522646	decode_insn32/fmsub_d	636	3
1374711856	decode_insn16/addi@1000..........10	524	9814
1376031485	decode_insn16/subw	543	152
1439106199	decode_insn32/fmul_d	639	270
1534588250	decode_insn32/sw	29	2323
1538739462	decode_insn32/amoswap_w	128	32
1538739462	decode_insn32/amoswap_w	130	274
1541024015	decode_insn32/fsgnj_d	668	235
1571074104	decode_insn32/fcvt_d_w	570	45
1598077440	decode_insn32/slli	808	4488
1617784797	decode_insn32/or	754	1018
1625748968	decode_insn16/addi	492	8122
1625748968	decode_insn16/addi	493	4126
1625748968	decode_insn16/addi	494	3550
1625748968	decode_insn16/addi	519	11984
1625748968	decode_insn16/addi	524	15920
1625748968	decode_insn16/addi	525	20
1638184580	decode_insn32/fcvt_d_s	569	12
1692673849	decode_insn32/and	139	2167
1748157045	decode_insn32/vsub_vv	1590	3
1752181840	decode_insn16/ebreak	501	32
1755627913	decode_insn32/fcvt_d_l	567	3
1764698878	decode_insn16/jal@101...........01	510	3631
1767807396	decode_insn32/remuw	766	38
1776650581	decode_insn32/slliw	809	1175
1790403747	decode_insn32/amoswap_d	123	3
1790403747	decode_insn32/amoswap_d	124	25
1790403747	decode_insn32/amoswap_d	125	30
1798128940	decode_insn32/sltu	815	377
1834429649	decode_insn32/flt_d	618	57
2007240220	decode_insn16/illegal	546	66
2028998948	decode_insn16/lw@010...........00	521	1247
