# QEMU decode-identity / Capstone-constant PAIR CENSUS -- the observed set the
# generated champsim_tracer_qemu_ident_x86.h rests on.
#
# Written by the tracer (CST_QEMU_IDENT_PAIRS=<path>, ONE qemu process per
# file) and folded in here by tools/merge_ident_pairs.py, which is a UNION:
# a rule that has ever been observed stays observed, so regeneration cannot
# narrow the table.  Sorted by (decode_id, cap_insn_id) so a diff is readable.
#
# The NAME is not decoration.  A decode id is not stable across source edits
# -- on i386 it is __LINE__ in decode-new.c.inc -- so the name is what proves
# a banked record still belongs to the rule it was taken from.  Both this
# tool's `verify` and the generator refuse a record whose name disagrees with
# the current universe.
#
#decode_id	decode_name	cap_insn_id	count
348	BT	57	19
349	BTS	60	22
350	BTR	59	97
351	BTC	58	9
394	MFENCE	364	12
401	LDMXCSR	327	14
401	LDMXCSR	1003	18
402	STMXCSR	707	31
402	STMXCSR	1461	25
403	XSAVE	1511	16
404	XRSTOR	1507	4
406	NOP	71	12
431	BLSMSK	44	110
462	PSRAD_i	437	18
464	PSLLD_i	434	90
478	PSRLQ_i	440	18
479	PSRLDQ_i	603	1739
482	PSLLQ_i	435	36
483	PSLLDQ_i	602	1513
494	MOVDQ	468	7852
494	MOVDQ	1028	1238
495	MOVDQ	469	1931
495	MOVDQ	1033	2856
505	PSHUFD	599	279
518	VZEROUPPER	1477	2498
521	VZEROALL	1476	9
563	MOVDQ	1028	900
564	MOVDQ	469	58
564	MOVDQ	1033	2301
586	BSF	54	821
588	TZCNT	737	1502
602	BSR	55	213
604	LZCNT	358	25
627	PSHUFB	429	4
627	PSHUFB	1342	1
717	PMINUD	1245	336
724	VPBROADCASTD	1103	27
728	VPBROADCASTB	1102	311
736	VFMADD132Sx	878	234
738	VFMSUB132Sx	902	34
740	VFNMADD132Sx	926	134
745	VFMADD213Sx	882	390
745	VFMADD213Sx	883	1
749	VFNMADD213Sx	930	26
754	VFMADD231Sx	886	36
756	VFMSUB231Sx	910	8
758	VFNMADD231Sx	934	44
801	MOVBE	464	48
829	BZHI	61	121
844	SHLX	685	4
845	SARX	650	125
846	SHRX	688	79
894	PEXTR	535	48
900	PINSR	560	48
911	PCMPISTRI	529	4
922	VROUNDSS	641	1
923	VROUNDSD	640	2
937	VBLENDVPD	781	44
972	VMOVSS	490	1
977	MOVDQ	495	703
979	VMOVSS_ld	490	85
1000	MOVDQ	495	6403
1002	VMOVSS_st	490	21
1021	VMOVLPx_ld	474	243
1026	VMOVHLPS	470	24
1049	VMOVHPx_ld	472	423
1050	VMOVHPx_ld	471	138
1099	VCVTTSx2SI	141	23
1100	VCVTTSx2SI	140	20
1100	VCVTTSx2SI	838	6
1112	VCVTSx2SI	132	1
1126	VUCOMI	739	163
1126	VUCOMI	740	10
1126	VUCOMI	1468	8
1128	VCOMI	116	59
1128	VCOMI	117	92
