# The QEMU register NAME -> generic wire register map for mipsel.
#
# name<TAB>generic<TAB>ground.  Columns are tab-separated; a row's GROUND
# says what decided it, because a register identity chosen without a stated
# reason is a guess that reads like a fact.
#
# The names are not chosen here: scripts/cst-regmap.py reads them out of the
# target's own registration sites and REFUSES to generate if this file is
# short a name or carries one the target never registers.
DSPControl	REG_FLAGS	DSP condition/carry/pos bits
HI0	REG_ACCHI0	HI<n> is the high half of accumulator <n>; mfhi and mflo read different hardware, so the two halves take different ids
HI1	REG_ACCHI1	HI<n> is the high half of accumulator <n>; mfhi and mflo read different hardware, so the two halves take different ids
HI2	REG_ACCHI2	HI<n> is the high half of accumulator <n>; mfhi and mflo read different hardware, so the two halves take different ids
HI3	REG_ACCHI3	HI<n> is the high half of accumulator <n>; mfhi and mflo read different hardware, so the two halves take different ids
LO0	REG_ACC0	LO<n> is the low half of accumulator <n>; mfhi and mflo read different hardware, so the two halves take different ids
LO1	REG_ACC1	LO<n> is the low half of accumulator <n>; mfhi and mflo read different hardware, so the two halves take different ids
LO2	REG_ACC2	LO<n> is the low half of accumulator <n>; mfhi and mflo read different hardware, so the two halves take different ids
LO3	REG_ACC3	LO<n> is the low half of accumulator <n>; mfhi and mflo read different hardware, so the two halves take different ids
PC	REG_IP	arch-role: the program counter
XCR	REG_VCTRL	MXU control register
XR1	REG_VEC1	MXU register file index
XR10	REG_VEC10	MXU register file index
XR11	REG_VEC11	MXU register file index
XR12	REG_VEC12	MXU register file index
XR13	REG_VEC13	MXU register file index
XR14	REG_VEC14	MXU register file index
XR15	REG_VEC15	MXU register file index
XR2	REG_VEC2	MXU register file index
XR3	REG_VEC3	MXU register file index
XR4	REG_VEC4	MXU register file index
XR5	REG_VEC5	MXU register file index
XR6	REG_VEC6	MXU register file index
XR7	REG_VEC7	MXU register file index
XR8	REG_VEC8	MXU register file index
XR9	REG_VEC9	MXU register file index
a0	REG_GPR4	regnames[] index is the architectural number
a0[hi]	REG_GPR4	regnames[] index is the architectural number (MIPS64 upper half of the same register)
a1	REG_GPR5	regnames[] index is the architectural number
a1[hi]	REG_GPR5	regnames[] index is the architectural number (MIPS64 upper half of the same register)
a2	REG_GPR6	regnames[] index is the architectural number
a2[hi]	REG_GPR6	regnames[] index is the architectural number (MIPS64 upper half of the same register)
a3	REG_GPR7	regnames[] index is the architectural number
a3[hi]	REG_GPR7	regnames[] index is the architectural number (MIPS64 upper half of the same register)
at	REG_GPR1	regnames[] index is the architectural number
at[hi]	REG_GPR1	regnames[] index is the architectural number (MIPS64 upper half of the same register)
bcond	REG_NONE	lowering: QEMU carries the branch condition here
btarget	REG_NONE	lowering: QEMU carries the delay-slot target
f0	REG_FPR0	fregnames[] index
f1	REG_FPR1	fregnames[] index
f10	REG_FPR10	fregnames[] index
f11	REG_FPR11	fregnames[] index
f12	REG_FPR12	fregnames[] index
f13	REG_FPR13	fregnames[] index
f14	REG_FPR14	fregnames[] index
f15	REG_FPR15	fregnames[] index
f16	REG_FPR16	fregnames[] index
f17	REG_FPR17	fregnames[] index
f18	REG_FPR18	fregnames[] index
f19	REG_FPR19	fregnames[] index
f2	REG_FPR2	fregnames[] index
f20	REG_FPR20	fregnames[] index
f21	REG_FPR21	fregnames[] index
f22	REG_FPR22	fregnames[] index
f23	REG_FPR23	fregnames[] index
f24	REG_FPR24	fregnames[] index
f25	REG_FPR25	fregnames[] index
