opcode_id	mnemonic	hex	disasm	instr_class	ref_rank	ref_status	ref_src	ref_dst	trc_src	trc_dst	verdict	signature	tierB_ref_only	llvm_src	llvm_dst	mra_vs_llvm	notes
ABS_32_dp_1src	abs	2220c05a	abs w2, w1	general	1:MRA	ok	GPR1	GPR2	GPR1	GPR2	agree	-	-	GPR1	GPR2	same	-
ABS_64_dp_1src	abs	2220c0da	abs x2, x1	general	1:MRA	ok	GPR1	GPR2	GPR1	GPR2	agree	-	-	GPR1	GPR2	same	-
ABS_asimdmisc_R	abs	64b8a04e	abs v4.4s, v3.4s	advsimd	1:MRA	ok	VEC3	VEC4	VEC3	VEC4	agree	-	-	VEC3	VEC4	same	-
ABS_asisdmisc_R	abs	efbae05e	abs d15, d23	advsimd	1:MRA	ok	VEC23	VEC15	VEC23	VEC15	agree	-	-	VEC23	VEC15	same	-
ADCS_32_addsub_carry	adcs	4300013a	adcs w3, w2, w1	general	1:MRA	ok	FLAGS,GPR1,GPR2	FLAGS,GPR3	FLAGS,GPR1,GPR2	FLAGS,GPR3	agree	-	-	FLAGS,GPR1,GPR2	FLAGS,GPR3	same	-
ADCS_64_addsub_carry	adcs	430001ba	adcs x3, x2, x1	general	1:MRA	ok	FLAGS,GPR1,GPR2	FLAGS,GPR3	FLAGS,GPR1,GPR2	FLAGS,GPR3	agree	-	-	FLAGS,GPR1,GPR2	FLAGS,GPR3	same	-
ADC_32_addsub_carry	adc	4300011a	adc w3, w2, w1	general	1:MRA	ok	FLAGS,GPR1,GPR2	GPR3	FLAGS,GPR1,GPR2	GPR3	agree	-	-	FLAGS,GPR1,GPR2	GPR3	same	-
ADC_64_addsub_carry	adc	4300019a	adc x3, x2, x1	general	1:MRA	ok	FLAGS,GPR1,GPR2	GPR3	FLAGS,GPR1,GPR2	GPR3	agree	-	-	FLAGS,GPR1,GPR2	GPR3	same	-
ADDG_64_addsub_immtags	addg	64088191	addg x4, x3, #16, #2	general	1:MRA	ok	GPR3,PSTATE.EL,SYS	GPR4	GPR3	GPR4	disagree	SRC+ref:SYS	PSTATE.EL	GPR3	GPR4	SRC+ref:SYS	-
ADDHN_asimddiff_N	addhn	ae42310e	addhn v14.8b, v21.8h, v17.8h	advsimd	1:MRA	ok	VEC17,VEC21	VEC14	VEC17,VEC21	VEC14	agree	-	-	VEC17,VEC21	VEC14	same	-
ADDP_asimdsame_only	addp	85bca34e	addp v5.4s, v4.4s, v3.4s	advsimd	1:MRA	ok	VEC3,VEC4	VEC5	VEC3,VEC4	VEC5	agree	-	-	VEC3,VEC4	VEC5	same	-
ADDP_asisdpair_only	addp	aebaf15e	addp d14, v21.2d	advsimd	1:MRA	ok	VEC21	VEC14	VEC21	VEC14	agree	-	-	VEC21	VEC14	same	-
ADDS_32S_addsub_ext	adds	854c212b	adds w5, w4, w1, uxtw #3	general	1:MRA	ok	GPR1,GPR4	FLAGS,GPR5	GPR1,GPR4	FLAGS,GPR5	agree	-	-	GPR1,GPR4	FLAGS,GPR5	same	-
